Type,Vessel_Name,Built,Size_Dwt,Builder,Sold,En_Bloc,Price,Sellers,Buyers,SOx_Scrubber_Fitted,Eco_Engine,Newbuild_Price,Scrap_Price,TCR_6M,TCR_1Yr,TCR_3Yrs,TCR_5Yrs,TCR_1Yr_Class,Age_Yrs,Builder_Country,China,India,Indonesia,Japan,Other,Philippines,South_Korea,Taiwan,Vietnam,Class
Bulk,Bonnie Venture,2012,32467,Zhejiang Hongxin,2018-12-18,0,9.5,Wah Kwong Shpg,European interests,0,0,21.55,2.88876,9500,9500,9500,9250,10000,6,China,1,0,0,0,0,0,0,0,0,Handysize
Bulk,Luisia Colossus,2010,55455,Kawasaki HI Kobe,2018-12-18,0,14,K-Line Pte Ltd,Greek interests,0,0,26,4.08408,13000,12250,12500,12250,12250,8,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Shun Yi,2001,73461,Tsuneishi Zosen,2018-12-18,0,9.5,Chengyi Shipping,Far Eastern interests,0,0,27.5,5.24428,,12875,12125,11125,14500,17,Japan,0,0,0,1,0,0,0,0,0,Panamax
Bulk,Tina,2000,75933,Kanasashi K.K.,2018-12-18,0,5.8,Athenian Ship Mgmt,Chinese interests,0,0,27.5,5.24428,,12875,12125,11125,14500,18,Japan,0,0,0,1,0,0,0,0,0,Panamax
Bulk,Janna S,2010,75021,Jinglu Shipyard,2018-12-17,0,10,Lauterjung Group,Clients of Borealis Maritime,0,0,27.5,5.24428,,12875,12125,11125,14500,8,China,1,0,0,0,0,0,0,0,0,Panamax
Bulk,Coral Ocean,2012,31989,Hakodate Dock,2018-12-14,0,14.1,First Marine,Turkish interests,0,0,21.55,2.88876,9500,9500,9500,9250,10000,6,Japan,0,0,0,1,0,0,0,0,0,Handysize
Bulk,PM Hayabusa,2013,58065,Tsuneishi Cebu,2018-12-12,0,17.2,Mitsubishi Corp,Japanese interests,0,1,26,4.08408,13000,12000,12500,12250,12000,5,Philippines,0,0,0,0,0,1,0,0,0,Handymax
Bulk,Seatribute,2012,81642,Daewoo (DSME),2018-12-12,0,20,Thenamaris,Clients of Minsheng Trust,0,0,28,5.24428,,14050,13125,12750,14050,6,South Korea,0,0,0,0,0,0,1,0,0,Panamax
Bulk,Stella T,1997,48225,Oshima Shipbuilding,2018-12-12,0,4.7,Dianik Bross.,Clients of Zhangzhou Shipping,0,0,26,4.08408,13000,12000,12500,12250,12000,21,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Jin Quan,2002,51104,Oshima Shipbuilding,2018-12-10,0,6.9,Jinhui Shpg & Trans,Clients of Bao Fortune Shipping,0,0,26,4.08408,13000,12000,12500,12250,12000,16,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Frontier Coronet,2011,182674,Kawasaki HI Sakaide,2018-12-05,0,29.5,Fukujin Shipping,Clients of Unisea Shipping,0,0,50,9.23296,16000,15625,15125,17875,15625,7,Japan,0,0,0,1,0,0,0,0,0,Capesize
Bulk,Shagang Hongchang*,2011,179469,Hyundai HI (Gunsan),2018-12-05,0,33,PIL,Clients of Unisea Shipping,0,0,50,9.23296,15000,14625,14125,16875,15625,7,South Korea,0,0,0,0,0,0,1,0,0,Capesize
Bulk,Shagang Hongfa*,2011,179461,Hyundai HI (Gunsan),2018-12-05,0,33,PIL,Clients of Unisea Shipping,0,0,50,9.23296,15000,14625,14125,16875,15625,7,South Korea,0,0,0,0,0,0,1,0,0,Capesize
Bulk,Veronique D,2012,58698,Nantong COSCO KHI,2018-12-04,0,16,Densan Deniz,Clients of Z. & G. Halcoussis,0,0,26,4.08408,13000,12000,12500,12250,12000,6,China,1,0,0,0,0,0,0,0,0,Handymax
Bulk,Grand Breaker*,2011,56564,Yangzhou Guoyu SB,2018-11-29,0,10.88,Bergen Yangzhou,Clients of ZJHX Shipping,0,1,26,4.17831,13000,12000,12500,12250,12000,7,China,1,0,0,0,0,0,0,0,0,Handymax
Bulk,Grand Pioneer*,2011,56564,Yangzhou Guoyu SB,2018-11-29,0,10.88,Bergen Yangzhou,Clients of ZJHX Shipping,0,1,26,4.17831,13000,12000,12500,12250,12000,7,China,1,0,0,0,0,0,0,0,0,Handymax
Bulk,Mount Travers,2002,28484,Imabari SB (Imabari),2018-11-29,0,6,Pacific Basin Shpg,Undisclosed interests,0,0,21.55,2.95797,9500,9500,9500,9250,10000,16,Japan,0,0,0,1,0,0,0,0,0,Handysize
Bulk,Ayia Marina,1996,45217,Kanasashi K.K.,2018-11-27,0,4,Oceanfleet Shipping,Clients of Wantong Shipping,0,0,26,4.17831,13000,12000,12500,12250,12000,22,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Genco Knight*,1999,73941,Oshima Shipbuilding,2018-11-27,0,6.7,Genco Shpg & Trading,Undisclosed interests,0,0,27.5,5.43034,,11550,11375,11125,13550,19,Japan,0,0,0,1,0,0,0,0,0,Panamax
Bulk,Genco Vigour*,1999,73941,Oshima Shipbuilding,2018-11-27,0,6.7,Genco Shpg & Trading,Undisclosed interests,0,0,27.5,5.43034,,11550,11375,11125,13550,19,Japan,0,0,0,1,0,0,0,0,0,Panamax
